tweet_id,text,rating_numerator,rating_denominator,name,type,p1,p1_conf,p2,p2_conf,p3,p3_conf,retweet_count,favorite_count,created_at
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10.0,Tilly,,Chihuahua,0.323581,Pekinese,0.0906465,papillon,0.0689569,5193,28510,2017-08-01 00:17:27
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,,Chihuahua,0.716012,malamute,0.078253,kelpie,0.0313789,3427,21435,2017-07-31 00:18:03
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,,basset,0.555712,English_springer,0.2257699999999999,German_short-haired_pointer,0.175219,7622,34393,2017-07-29 16:00:24
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,,,Chesapeake_Bay_retriever,0.425595,Irish_terrier,0.116317,Indian_elephant,0.0769021999999999,2553,17320,2017-07-29 00:08:17
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,,Appenzeller,0.341703,Border_collie,0.199287,ice_lolly,0.193548,1622,10102,2017-07-28 16:27:12
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,,,Pomeranian,0.566142,Eskimo_dog,0.1784059999999999,Pembroke,0.0765069,15480,55495,2017-07-28 00:22:40
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,,Irish_terrier,0.4875739999999999,Irish_setter,0.193054,Chesapeake_Bay_retriever,0.118184,3565,23889,2017-07-27 16:25:51
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,doggo,Pembroke,0.511319,Cardigan,0.451038,Chihuahua,0.0292482,6000,27243,2017-07-26 15:59:51
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,10.0,Koda,,Samoyed,0.957979,Pomeranian,0.0138835,chow,0.00816748,6048,26347,2017-07-26 00:31:25
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,10.0,Bruno,,French_bulldog,0.377417,Labrador_retriever,0.151317,muzzle,0.0829811,4091,23902,2017-07-25 16:11:53
889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13.0,10.0,,puppo,Pembroke,0.966327,Cardigan,0.0273557,basenji,0.00463323,8205,40985,2017-07-25 01:55:32
889638837579907072,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12.0,10.0,Ted,,French_bulldog,0.99165,boxer,0.00212864,Staffordshire_bullterrier,0.00149818,3659,23080,2017-07-25 00:10:02
889531135344209921,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13.0,10.0,Stuart,puppo,golden_retriever,0.953442,Labrador_retriever,0.0138341,redbone,0.00795775,1855,13011,2017-07-24 17:02:04
889278841981685760,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13.0,10.0,Oliver,,whippet,0.626152,borzoi,0.194742,Saluki,0.0273507,4375,21511,2017-07-24 00:19:32
888917238123831296,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12.0,10.0,Jim,,golden_retriever,0.714719,Tibetan_mastiff,0.1201839999999999,Labrador_retriever,0.1055059999999999,3697,24968,2017-07-23 00:22:39
888804989199671297,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13.0,10.0,Zeke,,golden_retriever,0.46976,Labrador_retriever,0.184172,English_setter,0.0734817,3468,21878,2017-07-22 16:56:37
888554962724278272,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13.0,10.0,Ralphus,,Siberian_husky,0.700377,Eskimo_dog,0.166511,malamute,0.111411,2839,16886,2017-07-22 00:23:06
888078434458587136,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12.0,10.0,Gerald,,French_bulldog,0.995026,pug,0.000931908,bull_mastiff,0.000903211,2847,18635,2017-07-20 16:49:33
887705289381826560,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13.0,10.0,Jeffrey,,basset,0.821664,redbone,0.0875815,Weimaraner,0.0262364,4455,25901,2017-07-19 16:06:48
